country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",01-08-2025 16:00:00,16.9872867,81.7363176,NH3,4,15,5
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",01-08-2025 16:00:00,16.9872867,81.7363176,SO2,NA,NA,NA
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",01-08-2025 16:00:00,13.67,79.35,NH3,1,2,1
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",01-08-2025 16:00:00,13.67,79.35,OZONE,14,313,28
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",01-08-2025 16:00:00,13.615387,79.409230,CO,10,16,11
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",01-08-2025 16:00:00,14.465052,78.824187,PM10,52,65,57
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",01-08-2025 16:00:00,14.465052,78.824187,CO,20,38,30
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",01-08-2025 16:00:00,14.465052,78.824187,OZONE,32,44,41
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",01-08-2025 16:00:00,16.9872867,81.7363176,PM10,23,88,56
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",01-08-2025 16:00:00,16.509717,80.612222,PM10,60,96,70
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",01-08-2025 16:00:00,16.5150833,80.5181667,PM2.5,17,33,26
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",01-08-2025 16:00:00,13.204880,79.097889,PM10,60,81,71
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",01-08-2025 16:00:00,13.204880,79.097889,NH3,6,8,7
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",01-08-2025 16:00:00,13.204880,79.097889,OZONE,44,58,53
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",01-08-2025 16:00:00,16.9872867,81.7363176,OZONE,6,38,12
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",01-08-2025 16:00:00,13.67,79.35,NO2,9,17,13
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",01-08-2025 16:00:00,13.615387,79.409230,NH3,2,3,3
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",01-08-2025 16:00:00,13.615387,79.409230,OZONE,24,27,26
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",01-08-2025 16:00:00,16.536107,80.594233,NO2,20,22,20
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",01-08-2025 16:00:00,16.509717,80.612222,NH3,4,6,5
